ggml_cuda_init: found 2 CUDA devices:
  Device 0: NVIDIA GeForce RTX 4090, compute capability 8.9, VMM: yes
  Device 1: NVIDIA GeForce RTX 4090, compute capability 8.9, VMM: yes
build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/DeepSeek-R1-70B-00001-of-00002.gguf","llama 70B Q8_0","74967187712","70553706560","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","512","0","0","2026-02-17T17:21:39Z","496287188","3402141","1031.692919","7.044838"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/DeepSeek-R1-70B-00001-of-00002.gguf","llama 70B Q8_0","74967187712","70553706560","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","2048","0","0","2026-02-17T17:21:41Z","1384855725","26883719","1479.227768","28.850464"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/DeepSeek-R1-70B-00001-of-00002.gguf","llama 70B Q8_0","74967187712","70553706560","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","4096","0","0","2026-02-17T17:21:46Z","2663014297","27906590","1538.218983","16.079444"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/DeepSeek-R1-70B-00001-of-00002.gguf","llama 70B Q8_0","74967187712","70553706560","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","8192","0","0","2026-02-17T17:21:57Z","5406875919","27711463","1515.134392","7.776208"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/DeepSeek-R1-70B-00001-of-00002.gguf","llama 70B Q8_0","74967187712","70553706560","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","16384","0","0","2026-02-17T17:22:19Z","11673935402","58298191","1403.491850","7.029131"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/DeepSeek-R1-70B-00001-of-00002.gguf","llama 70B Q8_0","74967187712","70553706560","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","32768","0","0","2026-02-17T17:23:06Z","27496172800","137262595","1191.749301","5.952599"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/DeepSeek-R1-70B-00001-of-00002.gguf","llama 70B Q8_0","74967187712","70553706560","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","0","128","0","2026-02-17T17:24:55Z","10026156313","352613","12.766607","0.000431"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/DeepSeek-R1-70B-00001-of-00002.gguf","llama 70B Q8_0","74967187712","70553706560","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","0","512","0","2026-02-17T17:25:25Z","40177143414","11433816","12.743565","0.003627"
