ggml_cuda_init: found 2 CUDA devices:
  Device 0: NVIDIA GeForce RTX 4090, compute capability 8.9, VMM: yes
  Device 1: NVIDIA GeForce RTX 4090, compute capability 8.9, VMM: yes
build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/DeepSeek-R1-70B-00001-of-00002.gguf","llama 70B Q8_0","74967187712","70553706560","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","512","0","0","2026-02-17T14:53:02Z","388377295","312646","1318.306262","1.059505"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/DeepSeek-R1-70B-00001-of-00002.gguf","llama 70B Q8_0","74967187712","70553706560","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","2048","0","0","2026-02-17T14:53:03Z","1002210476","1552412","2043.486192","3.161257"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/DeepSeek-R1-70B-00001-of-00002.gguf","llama 70B Q8_0","74967187712","70553706560","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","4096","0","0","2026-02-17T14:53:07Z","1859631237","1797081","2202.588593","2.129077"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/DeepSeek-R1-70B-00001-of-00002.gguf","llama 70B Q8_0","74967187712","70553706560","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","8192","0","0","2026-02-17T14:53:15Z","3682255409","4593169","2224.725767","2.772885"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/DeepSeek-R1-70B-00001-of-00002.gguf","llama 70B Q8_0","74967187712","70553706560","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","16384","0","0","2026-02-17T14:53:30Z","7804847369","11586128","2099.211333","3.113754"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/DeepSeek-R1-70B-00001-of-00002.gguf","llama 70B Q8_0","74967187712","70553706560","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","32768","0","0","2026-02-17T14:54:01Z","17712394192","5711388","1850.004122","0.596410"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/DeepSeek-R1-70B-00001-of-00002.gguf","llama 70B Q8_0","74967187712","70553706560","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","0","128","0","2026-02-17T14:55:12Z","10023403546","632375","12.770113","0.000806"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/DeepSeek-R1-70B-00001-of-00002.gguf","llama 70B Q8_0","74967187712","70553706560","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","0","512","0","2026-02-17T14:55:42Z","40165180044","14231883","12.747361","0.004518"
