ggml_cuda_init: found 2 CUDA devices:
  Device 0: NVIDIA GeForce RTX 4090, compute capability 8.9, VMM: yes
  Device 1: NVIDIA GeForce RTX 4090, compute capability 8.9, VMM: yes
build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/gpt_oss-f16.gguf","gpt-oss 120B BF16","65355994368","116829156672","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","512","0","0","2026-02-17T17:34:41Z","138606299","1647452","3694.261877","43.673497"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/gpt_oss-f16.gguf","gpt-oss 120B BF16","65355994368","116829156672","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","2048","0","0","2026-02-17T17:34:42Z","391948866","599571","5225.179543","7.997457"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/gpt_oss-f16.gguf","gpt-oss 120B BF16","65355994368","116829156672","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","4096","0","0","2026-02-17T17:34:44Z","733412683","10501033","5585.608601","79.448945"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/gpt_oss-f16.gguf","gpt-oss 120B BF16","65355994368","116829156672","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","8192","0","0","2026-02-17T17:34:47Z","1445058404","6100628","5669.042360","23.924929"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/gpt_oss-f16.gguf","gpt-oss 120B BF16","65355994368","116829156672","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","16384","0","0","2026-02-17T17:34:53Z","2961431618","3887163","5532.465688","7.259912"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/gpt_oss-f16.gguf","gpt-oss 120B BF16","65355994368","116829156672","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","32768","0","0","2026-02-17T17:35:05Z","6325445779","45897146","5180.528074","37.566143"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/gpt_oss-f16.gguf","gpt-oss 120B BF16","65355994368","116829156672","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","0","128","0","2026-02-17T17:35:30Z","856752648","932529","149.401465","0.162515"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/gpt_oss-f16.gguf","gpt-oss 120B BF16","65355994368","116829156672","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","0","512","0","2026-02-17T17:35:33Z","3452943282","4892881","148.279495","0.210286"
