ggml_cuda_init: found 2 CUDA devices:
  Device 0: NVIDIA GeForce RTX 4090, compute capability 8.9, VMM: yes
  Device 1: NVIDIA GeForce RTX 4090, compute capability 8.9, VMM: yes
build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/qwen25-q4_k_m.gguf","qwen2 70B Q4_K - Medium","47409725440","72706203648","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","512","0","0","2026-02-17T15:50:44Z","583558763","3786729","877.399944","5.714394"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/qwen25-q4_k_m.gguf","qwen2 70B Q4_K - Medium","47409725440","72706203648","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","2048","0","0","2026-02-17T15:50:46Z","1710134151","18722508","1197.663157","13.192664"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/qwen25-q4_k_m.gguf","qwen2 70B Q4_K - Medium","47409725440","72706203648","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","4096","0","0","2026-02-17T15:50:53Z","3267084896","33702251","1253.805877","12.918252"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/qwen25-q4_k_m.gguf","qwen2 70B Q4_K - Medium","47409725440","72706203648","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","8192","0","0","2026-02-17T15:51:06Z","6674541982","15839205","1227.354746","2.914526"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/qwen25-q4_k_m.gguf","qwen2 70B Q4_K - Medium","47409725440","72706203648","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","16384","0","0","2026-02-17T15:51:33Z","14437042194","58373801","1134.870894","4.599359"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/qwen25-q4_k_m.gguf","qwen2 70B Q4_K - Medium","47409725440","72706203648","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","32768","0","0","2026-02-17T15:52:31Z","32949261797","135023152","994.509875","4.068423"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/qwen25-q4_k_m.gguf","qwen2 70B Q4_K - Medium","47409725440","72706203648","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","0","128","0","2026-02-17T15:54:43Z","6520566215","211946","19.630197","0.000538"
"06bf3796f","7958","Genuine Intel(R) CPU 0000%@","NVIDIA GeForce RTX 4090, NVIDIA GeForce RTX 4090","CUDA","/mnt/shared/qwen25-q4_k_m.gguf","qwen2 70B Q4_K - Medium","47409725440","72706203648","2048","512","16","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","0","0","0","0","0","0","512","0","2026-02-17T15:55:02Z","26150670448","10302774","19.578850","0.007713"
